metric,value,category,model
ARI_leiden_vs_label,0.34574842594985367,global,immune_burst_vbs_int001_large
NMI_leiden_vs_label,0.5597244209762201,global,immune_burst_vbs_int001_large
iLISI_median,14.410910220312061,global,immune_burst_vbs_int001_large
iLISI_mean,14.62769622705668,global,immune_burst_vbs_int001_large
cLISI_median,2.6673965961963892,global,immune_burst_vbs_int001_large
cLISI_mean,2.9713674243027737,global,immune_burst_vbs_int001_large
LISI_subsample_n,32826.0,global,immune_burst_vbs_int001_large
silhouette_batch_bone_marrow,-0.007872842216024708,per_study,immune_burst_vbs_int001_large
silhouette_batch_crohns_pbmc,-0.006712410024805317,per_study,immune_burst_vbs_int001_large
silhouette_batch_lung_spleen_gse319044,0.0008531720856487772,per_study,immune_burst_vbs_int001_large
silhouette_label,0.013678047692163646,global,immune_burst_vbs_int001_small
silhouette_batch,-0.003232063137339493,global,immune_burst_vbs_int001_small
ARI_leiden_vs_label,0.23654225309776,global,immune_burst_vbs_int001_small
NMI_leiden_vs_label,0.5842815157321272,global,immune_burst_vbs_int001_small
iLISI_median,10.831590123180451,global,immune_burst_vbs_int001_small
iLISI_mean,12.155169963915961,global,immune_burst_vbs_int001_small
cLISI_median,1.633658798070548,global,immune_burst_vbs_int001_small
cLISI_mean,1.888324813649096,global,immune_burst_vbs_int001_small
LISI_subsample_n,32826.0,global,immune_burst_vbs_int001_small
silhouette_batch_bone_marrow,-0.006473754987221811,per_study,immune_burst_vbs_int001_small
silhouette_batch_crohns_pbmc,0.0020555583526240236,per_study,immune_burst_vbs_int001_small
silhouette_batch_lung_spleen_gse319044,0.006029120743422629,per_study,immune_burst_vbs_int001_small
silhouette_label,0.005521933267776553,global,immune_burst_vbs_int1_large
silhouette_batch,-0.005092574034120275,global,immune_burst_vbs_int1_large
ARI_leiden_vs_label,0.28938637802989925,global,immune_burst_vbs_int1_large
NMI_leiden_vs_label,0.5548099941862409,global,immune_burst_vbs_int1_large
iLISI_median,14.534944178640572,global,immune_burst_vbs_int1_large
iLISI_mean,14.789789540758484,global,immune_burst_vbs_int1_large
cLISI_median,2.5446788069396384,global,immune_burst_vbs_int1_large
cLISI_mean,2.8657856443609604,global,immune_burst_vbs_int1_large
LISI_subsample_n,32826.0,global,immune_burst_vbs_int1_large
silhouette_batch_bone_marrow,-0.009160560365311838,per_study,immune_burst_vbs_int1_large
silhouette_batch_crohns_pbmc,-0.0018012529399941634,per_study,immune_burst_vbs_int1_large
silhouette_batch_lung_spleen_gse319044,0.001741541140624609,per_study,immune_burst_vbs_int1_large
silhouette_label,0.01205362553325972,global,immune_burst_vbs_int1_small
silhouette_batch,-0.002480372133476338,global,immune_burst_vbs_int1_small
ARI_leiden_vs_label,0.24389863182298824,global,immune_burst_vbs_int1_small
NMI_leiden_vs_label,0.5914484207950017,global,immune_burst_vbs_int1_small
iLISI_median,10.297279734093781,global,immune_burst_vbs_int1_small
iLISI_mean,11.618341172337823,global,immune_burst_vbs_int1_small
cLISI_median,1.6753707387561347,global,immune_burst_vbs_int1_small
cLISI_mean,1.9300890826809125,global,immune_burst_vbs_int1_small
LISI_subsample_n,32826.0,global,immune_burst_vbs_int1_small
silhouette_batch_bone_marrow,-0.008071251222199599,per_study,immune_burst_vbs_int1_small
silhouette_batch_crohns_pbmc,0.0029806854607990992,per_study,immune_burst_vbs_int1_small
silhouette_batch_lung_spleen_gse319044,0.007392045586153091,per_study,immune_burst_vbs_int1_small
silhouette_label,0.01720765917047298,global,immune_integration_rna
silhouette_batch,-0.004982482096967233,global,immune_integration_rna
ARI_leiden_vs_label,0.17451195705009398,global,immune_integration_rna
NMI_leiden_vs_label,0.5561882420637082,global,immune_integration_rna
iLISI_median,8.263175000256604,global,immune_integration_rna
iLISI_mean,10.352343805437835,global,immune_integration_rna
cLISI_median,1.5742949066688006,global,immune_integration_rna
cLISI_mean,1.8133548076132737,global,immune_integration_rna
LISI_subsample_n,32826.0,global,immune_integration_rna
silhouette_batch_bone_marrow,-0.010997468645542173,per_study,immune_integration_rna
