name	type	era	results_folder	label	notebook	status	n_hidden	n_latent	decoder_type	decoder_weight_l2	dispersion_prior_mean	dispersion_prior_alpha	dispersion_init	burst_size_intercept	library_log_vars_weight	library_log_means_centering_sensitivity_rna	regularise_background	residual_library_encoder	library_obs_w_prior_rate	early_stopping_min_delta_per_feature	stratify_validation_key	max_epochs	exclude_datasets	notes
immune_integration_rna_embryo_es2_no_tea_dwl2_10	rna	3	results/immune_integration_rna_embryo_es2_no_tea_dwl2_10/model	Era 3, h=1024, l=256	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_no_tea_dwl2_10_out.ipynb	completed	1024	256		10.0	3.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_no_tea_small	rna	3	results/immune_integration_rna_embryo_es2_no_tea_small/model	Era 3, h=512, l=128	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_no_tea_small_out.ipynb	completed	512	128		0.1	3.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_no_tea_small_disp1	rna	3	results/immune_integration_rna_embryo_es2_no_tea_small_disp1/model	Era 3, h=512, l=128	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_no_tea_small_disp1_out.ipynb	completed	512	128		0.1	1.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_no_tea_small_disp1_dwl2_1	rna	3	results/immune_integration_rna_embryo_es2_no_tea_small_disp1_dwl2_1/model	Era 3, h=512, l=128	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_no_tea_small_disp1_dwl2_1_out.ipynb	completed	512	128		1.0	1.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_no_tea_small_disp2	rna	3	results/immune_integration_rna_embryo_es2_no_tea_small_disp2/model	Era 3, h=512, l=128	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_no_tea_small_disp2_out.ipynb	completed	512	128		0.1	2.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_no_tea_small_disp2_dwl2_1	rna	3	results/immune_integration_rna_embryo_es2_no_tea_small_disp2_dwl2_1/model	Era 3, h=512, l=128	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_no_tea_small_disp2_dwl2_1_out.ipynb	completed	512	128		1.0	2.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_no_tea_small_dwl2_1	rna	3	results/immune_integration_rna_embryo_es2_no_tea_small_dwl2_1/model	Era 3, h=512, l=128	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_no_tea_small_dwl2_1_out.ipynb	completed	512	128		1.0	3.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_no_tea_small_dwl2_10	rna	3	results/immune_integration_rna_embryo_es2_no_tea_small_dwl2_10/model	Era 3, h=512, l=128	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_no_tea_small_dwl2_10_out.ipynb	completed	512	128		10.0	3.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_small	rna	3	results/immune_integration_rna_embryo_es2_small/model	Era 3, h=512, l=128	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_small_out.ipynb	completed	512	128		0.1	3.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_large	rna	1	results/immune_integration_rna_large/model	Era 1, h=1024, l=256	docs/notebooks/immune_integration/bm_pbmc_rna_training_large_out.ipynb	completed	1024	256			3.0	9.0			0.5	1.0	0
immune_integration_rna_libvar1	rna	1	results/immune_integration_rna_libvar1/model	Era 1, h=1024, l=256	docs/notebooks/immune_integration/bm_pbmc_rna_training_libvar1_out.ipynb	completed	1024	256			3.0	9.0			1.0	1.0	0
immune_integration_rna_scvi_baseline	scvi	1	results/immune_integration_rna_scvi_baseline/model	Era 1, h=128, l=30		completed	128	30
immune_integration_rna_small	rna	1	results/immune_integration_rna_small/model	Era 1, h=512, l=128	docs/notebooks/immune_integration/bm_pbmc_rna_training_small_out.ipynb	completed	512	128			3.0	9.0			0.5	1.0	0
immune_integration_rna_small_libvar1	rna	1	results/immune_integration_rna_small_libvar1/model	Era 1, h=512, l=128	docs/notebooks/immune_integration/bm_pbmc_rna_training_small_libvar1_out.ipynb	completed	512	128			3.0	9.0			1.0	1.0	0
immune_integration_rna_studyqc	rna	2	results/immune_integration_rna_studyqc/model	Era 2, h=1024, l=256	docs/notebooks/immune_integration/bm_pbmc_rna_training_studyqc_out.ipynb	completed	1024	256			3.0	9.0			0.5	1.0	0
immune_integration_rna_studyqc_xlarge	rna	2	results/immune_integration_rna_studyqc_xlarge/model	Era 2, h=1600, l=400	docs/notebooks/immune_integration/bm_pbmc_rna_training_studyqc_xlarge_out.ipynb	completed	1600	400			3.0	9.0			0.5	1.0	0
immune_integration_rna_studyqc_xlarge_libvar1	rna	2	results/immune_integration_rna_studyqc_xlarge_libvar1/model	Era 2, h=1600, l=400	docs/notebooks/immune_integration/bm_pbmc_rna_training_studyqc_xlarge_libvar1_out.ipynb	completed	1600	400			3.0	9.0			1.0	1.0	0
immune_integration_rna_v2	rna	2	results/immune_integration_rna_v2/model	Era 2, h=1024, l=256		completed	1024	256			3.0	9.0			0.5	1.0	0
immune_integration_rna_xlarge	rna	1	results/immune_integration_rna_xlarge/model	Era 1, h=1600, l=400	docs/notebooks/immune_integration/bm_pbmc_rna_training_xlarge_out.ipynb	completed	1600	400			3.0	9.0			0.5	1.0	0
immune_rna_v2_no_tea_disp_data_prior1_large	rna	5	results/immune_rna_v2_no_tea_disp_data_prior1_large/model	Era 5, h=1024, l=256		completed	1024	256		0.1	1.0	9.0	data		0.5	1.0	0	1	1.0
immune_rna_v2_no_tea_disp_data_prior1_small	rna	5	results/immune_rna_v2_no_tea_disp_data_prior1_small/model	Era 5, h=512, l=128		completed	512	128		0.1	1.0	9.0	data		0.5	1.0	0	1	1.0
